name,category,final_pnl,max_drawdown,trade_count
imc_day_-2,imc,79982.5,1496793.0,1025
imc_day_-1,imc,75279.0,1722514.0,1061
imc_day_0,imc,73853.0,1779318.5,1157
yf_ADM_d0,real,-1332627.0,1333785.0,413
yf_ADM_d13,real,-628415.0,628415.0,255
yf_ADM_d5,real,-597225.5,599355.5,226
yf_BGS_d0,real,-483334.5,486497.5,225
yf_BGS_d13,real,-1038013.0,1042439.0,312
yf_BGS_d5,real,-609368.0,609726.0,275
yf_MKC_d0,real,-907737.0,908868.0,361
yf_MKC_d13,real,-1220555.0,1220594.0,333
yf_MKC_d5,real,-755217.0,755460.0,380
yf_ZS_F_d0,real,-1178006.0,1179015.0,379
yf_ZS_F_d13,real,-634881.0,640183.0,280
yf_ZS_F_d5,real,-777892.0,779606.5,330
yf_ZW_F_d0,real,-573682.0,574800.0,277
yf_ZW_F_d13,real,-1213753.0,1213753.0,304
yf_ZW_F_d5,real,-1254467.0,1255235.0,369
bear_normal_s0,scenario,54731.0,7244.0,6844
bear_volatile_s0,scenario,-60853.0,92677.0,10013
bull_normal_s0,scenario,18192.0,9461.0,6995
crash_normal_s0,scenario,-221411.0,239450.0,7910
crash_volatile_s0,scenario,-336995.0,342468.0,11079
high_vol_volatile_s0,scenario,-8124262.0,8124262.0,11030
sawtooth_normal_s0,scenario,-155244.0,167566.0,6534
sawtooth_volatile_s0,scenario,-273641.0,284035.0,9759
sideways_drift_s0,scenario,-888531.0,888531.0,1294
sideways_normal_s0,scenario,-928836.0,928916.0,6344
spike_crash_volatile_s0,scenario,-531981.0,532671.0,11772
v_recovery_drift_s0,scenario,51530.0,9986.0,2608
v_recovery_normal_s0,scenario,12695.0,7256.0,7738
