timestamp;product;price
200;TOMATOES;4030.83062068111
500;EMERALDS;9999.223106971634
600;TOMATOES;4032.837169110463
900;EMERALDS;10002.418340434395
1200;EMERALDS;10001.059442100435
1300;TOMATOES;4038.173887936288
2400;EMERALDS;10001.180619580457
2900;TOMATOES;3991.257532628327
3300;EMERALDS;9998.332726672521
3300;EMERALDS;10001.226815870165
3300;TOMATOES;4018.200912511109
3600;TOMATOES;4028.0573357751687
4000;TOMATOES;4022.257900334838
4100;TOMATOES;4025.915440253528
4500;EMERALDS;10000.75754741815
4500;TOMATOES;4045.1206258567017
4800;TOMATOES;3995.628672271014
5000;TOMATOES;4021.0244668167265
5200;TOMATOES;4020.2586241387266
5200;EMERALDS;10000.983001416298
6100;TOMATOES;4020.472301111941
6500;TOMATOES;4003.270272603752
6900;EMERALDS;10000.647647176193
7200;TOMATOES;4007.769249282936
7600;TOMATOES;4023.892643181097
7700;TOMATOES;3998.0516757984524
7800;TOMATOES;4001.251849240562
8600;TOMATOES;4012.721830652427
9400;EMERALDS;9996.262858595195
9400;TOMATOES;4016.349972316755
