timestamp;product;bid_price_1;ask_price_1
0;EMERALDS;9999.161521490742;10001.583242152594
0;TOMATOES;3983.4899705585885;3993.4899705585885
100;TOMATOES;3992.7549773116493;4002.7549773116493
100;EMERALDS;9998.386078047604;10001.943733172773
200;EMERALDS;9996.866866726323;9999.86380390433
200;TOMATOES;3997.558932128631;4007.558932128631
300;TOMATOES;4016.074975213172;4026.074975213172
300;EMERALDS;9998.433092554656;10003.640270808404
400;EMERALDS;9997.695913561198;10000.206564414804
400;TOMATOES;4011.776790056257;4021.776790056257
500;TOMATOES;3994.230104352586;4004.230104352586
500;EMERALDS;10000.585294868064;10001.158252634345
600;EMERALDS;9999.835332722865;10002.502881417158
600;TOMATOES;4013.7634262551683;4023.7634262551683
700;TOMATOES;4016.490260818824;4026.490260818824
700;EMERALDS;9998.440689872416;10000.754711913392
800;EMERALDS;9997.280746158573;10000.942047781138
800;TOMATOES;4000.5479587223076;4010.5479587223076
900;TOMATOES;4012.096649942628;4022.096649942628
900;EMERALDS;9997.41658540542;10001.090992385074
1000;EMERALDS;9997.674950371618;10002.551454044546
1000;TOMATOES;3996.6979804641055;4006.6979804641055
1100;TOMATOES;4020.5271028622114;4030.5271028622114
1100;EMERALDS;9997.439765493762;10004.292208012816
1200;EMERALDS;9997.09775393193;10002.041539392998
1200;TOMATOES;4016.085492139396;4026.085492139396
1300;TOMATOES;4007.762605235971;4017.762605235971
1300;EMERALDS;9997.40902772453;10000.882074554887
1400;EMERALDS;9997.72382050775;10002.53905832058
1400;TOMATOES;4016.3011183069993;4026.3011183069993
1500;TOMATOES;4027.702542285759;4037.702542285759
1500;EMERALDS;9997.483116106267;10001.403840300194
1600;EMERALDS;9997.301410050064;10001.980869503479
1600;TOMATOES;4021.7937379276;4031.7937379276
1700;TOMATOES;4032.3387024752356;4042.3387024752356
1700;EMERALDS;9997.071108075475;10003.1750012195
1800;EMERALDS;10000.55043823588;10001.252129050707
1800;TOMATOES;4036.8902733196783;4046.8902733196783
1900;TOMATOES;4024.9794082589233;4034.9794082589233
1900;EMERALDS;9996.5268267522;10002.009025250973
2000;EMERALDS;9996.978585269479;10001.12189210676
2000;TOMATOES;4032.2813337074535;4042.2813337074535
2100;TOMATOES;4058.871023315353;4068.871023315353
2100;EMERALDS;9998.43239570098;10001.843565829615
2200;EMERALDS;9997.676419929923;10002.256570452002
2200;TOMATOES;4040.6555002602277;4050.6555002602277
2300;TOMATOES;4032.9963589452277;4042.9963589452277
2300;EMERALDS;9998.423824707867;10001.01122095123
2400;EMERALDS;9998.799179995034;10001.66117803397
2400;TOMATOES;4044.0894729748775;4054.0894729748775
2500;TOMATOES;4032.119161706365;4042.119161706365
2500;EMERALDS;9999.262613663324;10001.763815969147
2600;EMERALDS;9998.751964849214;10001.362344987516
2600;TOMATOES;4058.852713284586;4068.852713284586
2700;TOMATOES;4053.248502972927;4063.248502972927
2700;EMERALDS;9997.006239016882;10000.812387713615
2800;EMERALDS;9999.109143281361;10000.578782772696
2800;TOMATOES;4062.4237206058774;4072.4237206058774
2900;TOMATOES;4062.6076525402646;4072.6076525402646
2900;EMERALDS;9996.235082271724;10001.846504804324
3000;EMERALDS;9997.88557870297;10001.730943039784
3000;TOMATOES;4059.509025104168;4069.509025104168
3100;TOMATOES;4067.3813567485486;4077.3813567485486
3100;EMERALDS;9997.501825806079;10004.231366788887
3200;EMERALDS;9996.93920096367;9999.56523242348
3200;TOMATOES;4061.5622011125424;4071.5622011125424
3300;TOMATOES;4055.044576548724;4065.044576548724
3300;EMERALDS;9998.591666520728;10002.112726504816
3400;EMERALDS;9997.81674342622;10002.370444536664
3400;TOMATOES;4053.4517188388886;4063.4517188388886
3500;TOMATOES;4061.225322473627;4071.225322473627
3500;EMERALDS;9999.01985472937;10003.359633862672
3600;EMERALDS;9996.517534522178;10002.501857206782
3600;TOMATOES;4042.6726914065284;4052.6726914065284
3700;TOMATOES;4088.0074193188216;4098.007419318821
3700;EMERALDS;9998.846311891843;10001.15578629617
3800;EMERALDS;9998.497940148367;10002.000009761472
3800;TOMATOES;4054.6270026567163;4064.6270026567163
3900;TOMATOES;4073.021483147905;4083.021483147905
3900;EMERALDS;9998.126504175307;10002.542352572149
4000;EMERALDS;9996.58118944885;10001.686491803006
4000;TOMATOES;4062.6324081105404;4072.6324081105404
4100;TOMATOES;4057.5723469099366;4067.5723469099366
4100;EMERALDS;9997.74822588163;10002.77101173807
4200;EMERALDS;9996.453325388735;10000.131909345437
4200;TOMATOES;4079.026031098154;4089.026031098154
4300;TOMATOES;4078.8220210201903;4088.8220210201903
4300;EMERALDS;9995.917348064255;10003.731184665981
4400;EMERALDS;10001.27974540111;10003.467678010573
4400;TOMATOES;4082.291647587675;4092.291647587675
4500;TOMATOES;4091.398556507317;4101.398556507317
4500;EMERALDS;9998.97086132004;10001.664322661476
4600;EMERALDS;9999.792592852398;10002.611340779573
4600;TOMATOES;4081.745538078416;4091.745538078416
4700;TOMATOES;4093.737439606565;4103.737439606565
4700;EMERALDS;9997.57098668149;10002.047970591868
4800;EMERALDS;9998.69619797961;10001.170864710984
4800;TOMATOES;4097.10221141279;4107.10221141279
4900;TOMATOES;4090.641457735322;4100.641457735323
4900;EMERALDS;9998.697416272276;10002.087710218408
5000;EMERALDS;9998.601515813667;10003.00036588655
5000;TOMATOES;4093.1749058464675;4103.1749058464675
5100;TOMATOES;4103.414545658209;4113.414545658209
5100;EMERALDS;9998.003659490714;10001.618907482485
5200;EMERALDS;9997.771752441806;10001.62433057692
5200;TOMATOES;4100.623014515716;4110.623014515716
5300;TOMATOES;4103.661591937209;4113.661591937209
5300;EMERALDS;9995.930387737335;10001.925529237105
5400;EMERALDS;9998.610144086406;10002.433496330077
