day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
yf_ADM_d8;0;ASH_COATED_OSMIUM;9896;18;9892;30;;;9917;14;9921;23;;;9906.5;0.0
yf_ADM_d8;0;INTARIAN_PEPPER_ROOT;11479;12;11476;24;;;11499;17;11502;23;;;11489.0;0.0
yf_ADM_d8;100;ASH_COATED_OSMIUM;9901;14;9898;15;;;9910;9;9914;14;;;9905.5;0.0
yf_ADM_d8;100;INTARIAN_PEPPER_ROOT;11482;7;11478;27;;;11495;11;11499;18;;;11488.5;0.0
yf_ADM_d8;200;ASH_COATED_OSMIUM;9899;5;9897;18;;;9914;11;9916;17;;;9906.5;0.0
yf_ADM_d8;200;INTARIAN_PEPPER_ROOT;11479;22;11477;22;;;11497;18;11499;15;;;11488.0;0.0
yf_ADM_d8;300;ASH_COATED_OSMIUM;9902;12;9898;19;;;9908;15;9912;20;;;9905.0;0.0
yf_ADM_d8;300;INTARIAN_PEPPER_ROOT;11485;16;11482;14;;;11491;16;11493;18;;;11488.0;0.0
yf_ADM_d8;400;ASH_COATED_OSMIUM;9902;17;9900;22;;;9909;14;9911;21;;;9905.5;0.0
yf_ADM_d8;400;INTARIAN_PEPPER_ROOT;11485;9;11482;16;;;11491;15;11493;18;;;11488.0;0.0
yf_ADM_d8;500;ASH_COATED_OSMIUM;9903;13;9899;24;;;9909;16;9911;13;;;9906.0;0.0
yf_ADM_d8;500;INTARIAN_PEPPER_ROOT;11485;13;11481;15;;;11491;14;11493;24;;;11488.0;0.0
yf_ADM_d8;600;ASH_COATED_OSMIUM;9901;19;9899;10;;;9910;8;9913;21;;;9905.5;0.0
yf_ADM_d8;600;INTARIAN_PEPPER_ROOT;11483;23;11481;21;;;11491;25;11493;21;;;11487.0;0.0
yf_ADM_d8;700;ASH_COATED_OSMIUM;9899;18;9896;22;;;9911;14;9915;23;;;9905.0;0.0
yf_ADM_d8;700;INTARIAN_PEPPER_ROOT;11484;14;11480;27;;;11490;22;11492;18;;;11487.0;0.0
yf_ADM_d8;800;ASH_COATED_OSMIUM;9902;14;9898;12;;;9909;13;9912;10;;;9905.5;0.0
yf_ADM_d8;800;INTARIAN_PEPPER_ROOT;11484;7;11480;21;;;11490;10;11494;19;;;11487.0;0.0
yf_ADM_d8;900;ASH_COATED_OSMIUM;9903;16;9899;19;;;9909;17;9912;16;;;9906.0;0.0
yf_ADM_d8;900;INTARIAN_PEPPER_ROOT;11473;21;11469;21;;;11500;18;11503;15;;;11486.5;0.0
yf_ADM_d8;1000;ASH_COATED_OSMIUM;9902;18;9898;11;;;9908;10;9910;14;;;9905.0;0.0
yf_ADM_d8;1000;INTARIAN_PEPPER_ROOT;11477;13;11475;18;;;11495;18;11499;16;;;11486.0;0.0
yf_ADM_d8;1100;ASH_COATED_OSMIUM;9903;15;9901;20;;;9909;14;9911;28;;;9906.0;0.0
yf_ADM_d8;1100;INTARIAN_PEPPER_ROOT;11482;11;11479;10;;;11488;16;11490;20;;;11485.0;0.0
yf_ADM_d8;1200;ASH_COATED_OSMIUM;9903;9;9901;21;;;9909;16;9911;19;;;9906.0;0.0
yf_ADM_d8;1200;INTARIAN_PEPPER_ROOT;11475;8;11472;20;;;11496;18;11498;13;;;11485.5;0.0
yf_ADM_d8;1300;ASH_COATED_OSMIUM;9902;9;9898;17;;;9908;15;9910;23;;;9905.0;0.0
yf_ADM_d8;1300;INTARIAN_PEPPER_ROOT;11473;17;11471;18;;;11496;12;11498;21;;;11484.5;0.0
yf_ADM_d8;1400;ASH_COATED_OSMIUM;9901;10;9898;24;;;9909;10;9912;22;;;9905.0;0.0
yf_ADM_d8;1400;INTARIAN_PEPPER_ROOT;11479;23;11475;18;;;11490;13;11494;21;;;11484.5;0.0
yf_ADM_d8;1500;ASH_COATED_OSMIUM;9902;12;9899;14;;;9908;12;9911;18;;;9905.0;0.0
yf_ADM_d8;1500;INTARIAN_PEPPER_ROOT;11482;5;11480;20;;;11488;5;11491;22;;;11485.0;0.0
yf_ADM_d8;1600;ASH_COATED_OSMIUM;9899;18;9897;25;;;9912;6;9916;14;;;9905.5;0.0
yf_ADM_d8;1600;INTARIAN_PEPPER_ROOT;11481;14;11478;15;;;11487;14;11489;22;;;11484.0;0.0
yf_ADM_d8;1700;ASH_COATED_OSMIUM;9902;11;9899;21;;;9908;19;9912;30;;;9905.0;0.0
yf_ADM_d8;1700;INTARIAN_PEPPER_ROOT;11478;5;11476;15;;;11487;26;11491;21;;;11482.5;0.0
yf_ADM_d8;1800;ASH_COATED_OSMIUM;9902;20;9899;20;;;9908;6;9912;8;;;9905.0;0.0
yf_ADM_d8;1800;INTARIAN_PEPPER_ROOT;11480;18;11477;21;;;11486;12;11489;24;;;11483.0;0.0
yf_ADM_d8;1900;ASH_COATED_OSMIUM;9903;23;9900;29;;;9909;11;9913;22;;;9906.0;0.0
yf_ADM_d8;1900;INTARIAN_PEPPER_ROOT;11475;19;11473;19;;;11491;22;11494;16;;;11483.0;0.0
yf_ADM_d8;2000;ASH_COATED_OSMIUM;9902;19;9899;21;;;9909;10;9912;21;;;9905.5;0.0
yf_ADM_d8;2000;INTARIAN_PEPPER_ROOT;11478;9;11476;23;;;11485;12;11489;16;;;11481.5;0.0
yf_ADM_d8;2100;ASH_COATED_OSMIUM;9901;14;9898;21;;;9910;9;9912;16;;;9905.5;0.0
yf_ADM_d8;2100;INTARIAN_PEPPER_ROOT;11476;19;11473;22;;;11490;22;11493;29;;;11483.0;0.0
yf_ADM_d8;2200;ASH_COATED_OSMIUM;9902;10;9898;20;;;9908;6;9912;27;;;9905.0;0.0
yf_ADM_d8;2200;INTARIAN_PEPPER_ROOT;11479;5;11477;19;;;11485;15;11487;16;;;11482.0;0.0
yf_ADM_d8;2300;ASH_COATED_OSMIUM;9902;14;9900;21;;;9908;14;9911;22;;;9905.0;0.0
yf_ADM_d8;2300;INTARIAN_PEPPER_ROOT;11479;21;11476;20;;;11485;11;11489;22;;;11482.0;0.0
yf_ADM_d8;2400;ASH_COATED_OSMIUM;9895;12;9893;19;;;9916;5;9918;28;;;9905.5;0.0
yf_ADM_d8;2400;INTARIAN_PEPPER_ROOT;11476;15;11472;20;;;11486;6;11488;13;;;11481.0;0.0
yf_ADM_d8;2500;ASH_COATED_OSMIUM;9902;22;9899;14;;;9908;15;9912;25;;;9905.0;0.0
yf_ADM_d8;2500;INTARIAN_PEPPER_ROOT;11477;9;11475;19;;;11483;6;11485;23;;;11480.0;0.0
yf_ADM_d8;2600;ASH_COATED_OSMIUM;9902;11;9898;22;;;9908;12;9911;22;;;9905.0;0.0
yf_ADM_d8;2600;INTARIAN_PEPPER_ROOT;11473;14;11469;17;;;11487;8;11489;23;;;11480.0;0.0
yf_ADM_d8;2700;ASH_COATED_OSMIUM;9902;27;9898;21;;;9909;14;9913;18;;;9905.5;0.0
yf_ADM_d8;2700;INTARIAN_PEPPER_ROOT;11476;20;11472;23;;;11483;5;11487;29;;;11479.5;0.0
yf_ADM_d8;2800;ASH_COATED_OSMIUM;9903;10;9901;18;;;9909;17;9913;8;;;9906.0;0.0
yf_ADM_d8;2800;INTARIAN_PEPPER_ROOT;11477;10;11475;13;;;11483;16;11485;21;;;11480.0;0.0
yf_ADM_d8;2900;ASH_COATED_OSMIUM;9902;23;9900;21;;;9909;17;9912;19;;;9905.5;0.0
yf_ADM_d8;2900;INTARIAN_PEPPER_ROOT;11477;10;11474;18;;;11483;11;11485;29;;;11480.0;0.0
yf_ADM_d8;3000;ASH_COATED_OSMIUM;9902;5;9899;14;;;9908;14;9911;10;;;9905.0;0.0
yf_ADM_d8;3000;INTARIAN_PEPPER_ROOT;11475;15;11473;21;;;11484;20;11488;17;;;11479.5;0.0
yf_ADM_d8;3100;ASH_COATED_OSMIUM;9902;14;9899;19;;;9908;14;9910;12;;;9905.0;0.0
