day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
yf_ZS=F_d8;0;ASH_COATED_OSMIUM;10076;14;10073;18;;;10082;17;10084;20;;;10079.0;0.0
yf_ZS=F_d8;0;INTARIAN_PEPPER_ROOT;11155;14;11152;23;;;11161;15;11164;26;;;11158.0;0.0
yf_ZS=F_d8;100;ASH_COATED_OSMIUM;10076;16;10072;20;;;10082;5;10084;16;;;10079.0;0.0
yf_ZS=F_d8;100;INTARIAN_PEPPER_ROOT;11158;19;11154;19;;;11164;7;11168;19;;;11161.0;0.0
yf_ZS=F_d8;200;ASH_COATED_OSMIUM;10068;16;10064;19;;;10090;21;10093;19;;;10079.0;0.0
yf_ZS=F_d8;200;INTARIAN_PEPPER_ROOT;11162;11;11158;14;;;11168;19;11172;22;;;11165.0;0.0
yf_ZS=F_d8;300;ASH_COATED_OSMIUM;10076;18;10074;13;;;10083;18;10087;22;;;10079.5;0.0
yf_ZS=F_d8;300;INTARIAN_PEPPER_ROOT;11164;19;11160;20;;;11173;20;11175;17;;;11168.5;0.0
yf_ZS=F_d8;400;ASH_COATED_OSMIUM;10072;17;10069;23;;;10087;13;10089;19;;;10079.5;0.0
yf_ZS=F_d8;400;INTARIAN_PEPPER_ROOT;11164;18;11162;30;;;11181;21;11183;16;;;11172.5;0.0
yf_ZS=F_d8;500;ASH_COATED_OSMIUM;10077;19;10074;24;;;10083;16;10087;16;;;10080.0;0.0
yf_ZS=F_d8;500;INTARIAN_PEPPER_ROOT;11172;17;11170;14;;;11179;10;11183;14;;;11175.5;0.0
yf_ZS=F_d8;600;ASH_COATED_OSMIUM;10077;14;10075;12;;;10083;9;10086;9;;;10080.0;0.0
yf_ZS=F_d8;600;INTARIAN_PEPPER_ROOT;11176;13;11172;13;;;11182;17;11184;18;;;11179.0;0.0
yf_ZS=F_d8;700;ASH_COATED_OSMIUM;10077;8;10074;15;;;10083;20;10086;17;;;10080.0;0.0
yf_ZS=F_d8;700;INTARIAN_PEPPER_ROOT;11173;20;11171;23;;;11193;12;11196;18;;;11183.0;0.0
yf_ZS=F_d8;800;ASH_COATED_OSMIUM;10075;12;10073;13;;;10085;17;10087;17;;;10080.0;0.0
yf_ZS=F_d8;800;INTARIAN_PEPPER_ROOT;11183;14;11179;22;;;11190;19;11192;12;;;11186.5;0.0
yf_ZS=F_d8;900;ASH_COATED_OSMIUM;10076;15;10073;11;;;10085;14;10088;22;;;10080.5;0.0
yf_ZS=F_d8;900;INTARIAN_PEPPER_ROOT;11187;7;11185;12;;;11193;9;11196;24;;;11190.0;0.0
yf_ZS=F_d8;1000;ASH_COATED_OSMIUM;10077;7;10075;18;;;10084;15;10087;22;;;10080.5;0.0
yf_ZS=F_d8;1000;INTARIAN_PEPPER_ROOT;11190;18;11187;19;;;11196;11;11198;28;;;11193.0;0.0
yf_ZS=F_d8;1100;ASH_COATED_OSMIUM;10074;18;10071;21;;;10087;14;10089;19;;;10080.5;0.0
yf_ZS=F_d8;1100;INTARIAN_PEPPER_ROOT;11194;12;11191;14;;;11200;14;11203;19;;;11197.0;0.0
yf_ZS=F_d8;1200;ASH_COATED_OSMIUM;10078;21;10075;19;;;10084;21;10086;21;;;10081.0;0.0
yf_ZS=F_d8;1200;INTARIAN_PEPPER_ROOT;11197;16;11193;14;;;11203;21;11206;20;;;11200.0;0.0
yf_ZS=F_d8;1300;ASH_COATED_OSMIUM;10078;12;10076;21;;;10084;10;10088;14;;;10081.0;0.0
yf_ZS=F_d8;1300;INTARIAN_PEPPER_ROOT;11200;10;11197;25;;;11208;8;11211;22;;;11204.0;0.0
yf_ZS=F_d8;1400;ASH_COATED_OSMIUM;10068;16;10064;20;;;10093;20;10097;24;;;10080.5;0.0
yf_ZS=F_d8;1400;INTARIAN_PEPPER_ROOT;11205;15;11202;23;;;11211;8;11213;20;;;11208.0;0.0
yf_ZS=F_d8;1500;ASH_COATED_OSMIUM;10078;9;10075;12;;;10084;16;10087;17;;;10081.0;0.0
yf_ZS=F_d8;1500;INTARIAN_PEPPER_ROOT;11208;24;11204;18;;;11214;21;11216;20;;;11211.0;0.0
yf_ZS=F_d8;1600;ASH_COATED_OSMIUM;10078;15;10075;19;;;10084;15;10086;8;;;10081.0;0.0
yf_ZS=F_d8;1600;INTARIAN_PEPPER_ROOT;11209;12;11206;24;;;11219;13;11222;20;;;11214.0;0.0
yf_ZS=F_d8;1700;ASH_COATED_OSMIUM;10078;16;10074;22;;;10084;21;10086;17;;;10081.0;0.0
yf_ZS=F_d8;1700;INTARIAN_PEPPER_ROOT;11215;12;11212;27;;;11221;25;11224;23;;;11218.0;0.0
yf_ZS=F_d8;1800;ASH_COATED_OSMIUM;10077;7;10075;19;;;10084;15;10086;15;;;10080.5;0.0
yf_ZS=F_d8;1800;INTARIAN_PEPPER_ROOT;11219;15;11216;21;;;11225;5;11227;14;;;11222.0;0.0
yf_ZS=F_d8;1900;ASH_COATED_OSMIUM;10079;6;10077;16;;;10085;20;10087;17;;;10082.0;0.0
yf_ZS=F_d8;1900;INTARIAN_PEPPER_ROOT;11221;5;11219;25;;;11229;14;11232;23;;;11225.0;0.0
yf_ZS=F_d8;2000;ASH_COATED_OSMIUM;10079;15;10076;19;;;10085;19;10089;25;;;10082.0;0.0
yf_ZS=F_d8;2000;INTARIAN_PEPPER_ROOT;11222;17;11218;25;;;11235;15;11238;25;;;11228.5;0.0
yf_ZS=F_d8;2100;ASH_COATED_OSMIUM;10079;18;10077;21;;;10085;17;10089;22;;;10082.0;0.0
yf_ZS=F_d8;2100;INTARIAN_PEPPER_ROOT;11229;13;11225;18;;;11235;19;11239;12;;;11232.0;0.0
yf_ZS=F_d8;2200;ASH_COATED_OSMIUM;10079;13;10076;19;;;10085;9;10088;23;;;10082.0;0.0
yf_ZS=F_d8;2200;INTARIAN_PEPPER_ROOT;11229;24;11227;21;;;11242;22;11244;32;;;11235.5;0.0
yf_ZS=F_d8;2300;ASH_COATED_OSMIUM;10078;13;10074;27;;;10084;22;10087;24;;;10081.0;0.0
yf_ZS=F_d8;2300;INTARIAN_PEPPER_ROOT;11235;24;11233;13;;;11242;16;11246;12;;;11238.5;0.0
yf_ZS=F_d8;2400;ASH_COATED_OSMIUM;10079;7;10076;21;;;10085;5;10088;23;;;10082.0;0.0
yf_ZS=F_d8;2400;INTARIAN_PEPPER_ROOT;11239;8;11236;27;;;11245;18;11248;8;;;11242.0;0.0
yf_ZS=F_d8;2500;ASH_COATED_OSMIUM;10080;21;10078;34;;;10086;16;10089;28;;;10083.0;0.0
yf_ZS=F_d8;2500;INTARIAN_PEPPER_ROOT;11242;11;11238;14;;;11252;20;11255;28;;;11247.0;0.0
yf_ZS=F_d8;2600;ASH_COATED_OSMIUM;10071;15;10068;28;;;10094;19;10097;14;;;10082.5;0.0
yf_ZS=F_d8;2600;INTARIAN_PEPPER_ROOT;11243;16;11239;8;;;11257;16;11259;21;;;11250.0;0.0
